"PrimaryKey","Annual_Forb","Annual_Forb_Exo","Annual_Forb_Exo_Inv","Annual_Forb_Exo_Inv_Nox","Annual_Graminoid","Annual_Graminoid_Exo","Annual_Graminoid_Exo_Inv","Annual_Graminoid_Exo_Inv_Nox","Annual_Graminoid_Nox","Annual_Sedge","Perennial_Forb","Perennial_Forb_Exo","Perennial_Forb_Exo_Inv","Perennial_Forb_Exo_Inv_Nox","Perennial_Graminoid","Perennial_Graminoid_Exo","Perennial_Graminoid_Exo_Inv","Perennial_Graminoid_Exo_Inv_Nox","Perennial_Shrub","Perennial_SubShrub","Perennial_Succulent","Perennial_Tree","Perennial_Tree_Exo_Inv_Nox","Nox","Inv","Exo","Nat","NatHerb","NatWoody","S","GapLg","TotalFoliar","Count","NatCount","max_height"
"1000000032018-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66666666666667,0,0,0,58.6666666666667,0,0.333333333333333,0,0,0,0,0,66.6666666666667,7.66666666666667,59,31.6666666666667,25.3466666666667,54.3333333333333,12,12,78.9333333333333
"1000000302018-09-01",5.66666666666667,0,0,0,35.6666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,10.6666666666667,0,0.666666666666667,0,0,0,0,0,53.6666666666667,42.3333333333333,11.3333333333333,4.66666666666667,86.7733333333333,43,30,30,19.8666666666667
"1000000692018-09-01",1.66666666666667,0,0,0,4.33333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,8,0,0,0,0,0,0,0,14.3333333333333,6.33333333333333,8,77.3333333333333,68.0666666666667,13,25,25,19.3103448275862
"1000000772018-09-01",4,0,0,0,9,0,0,0,0,0,0,0,0,0,32,0,0,0,5.33333333333333,0,1.33333333333333,0,0,0,0,0,51.6666666666667,45,6.66666666666667,24.6666666666667,17.3866666666667,47.6666666666667,34,34,35.9333333333333
"1000000962018-09-01",20.3333333333333,0,0,0,49.3333333333333,0,0,0,0,0,1.66666666666667,0,0,0,0.333333333333333,0,0,0,0,2,0,0,0,0,0,0,73.6666666666667,71.6666666666667,2,20.3333333333333,3.53333333333333,63,29,29,22.2333333333333
"1000001012018-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3333333333333,0.333333333333333,0,0,0,0,0,0,22.6666666666667,0,22.6666666666667,55,62.48,21.6666666666667,4,4,25.7666666666667
"16080308105523902016-09-01",0.666666666666667,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,1,0,0,0,25.3333333333333,0,0,0,0,0,0,0,28.3333333333333,3,25.3333333333333,41.3333333333333,67.76,26.3333333333333,17,17,47.9666666666667
"16080412354714602016-09-01",4,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,12,0,0,0,13.3333333333333,0.666666666666667,0,0,0,0,0,0,30.6666666666667,16.6666666666667,14,59.6666666666667,72.3733333333333,29.3333333333333,11,10,46.6333333333333
"16080508464174862016-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,31,0,31,46.3333333333333,65.6933333333333,30,7,7,31.2333333333333
"16080909153224072016-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,1.33333333333333,3.66666666666667,0,0,0,0,0,61,56,5,23.6666666666667,26.6133333333333,58.6666666666667,19,19,36.5
"16080914253681042016-09-01",0,0,0,0,0,0,0,0,0,0,7.33333333333333,0,0,0,53.3333333333333,0,0,0,0,0.666666666666667,0,0,0,0,0,0,61.3333333333333,60.6666666666667,0.666666666666667,13,14.0533333333333,59.6666666666667,25,25,31.5862068965517
"16081110402163562016-09-01",0,0,0,0,0,0,0,0,0,0,4.66666666666667,0,0,0,0,0,0,0,26.6666666666667,2.33333333333333,1.33333333333333,0,0,0,0,0,35,4.66666666666667,30.3333333333333,5,73.56,31,19,19,44.5666666666667
"16081114554791692016-09-01",0.333333333333333,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,2.66666666666667,0,0,0,21,1.66666666666667,0,0,0,0,0,0,29,6.33333333333333,22.6666666666667,8,71.9333333333333,26.3333333333333,23,23,30.2
"16081211131054762016-09-01",0.666666666666667,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,2.66666666666667,1,4,0,0,0,0,0,41.3333333333333,33.6666666666667,7.66666666666667,4,53.32,41.6666666666667,32,32,30.448275862069
"16081508511172662016-09-01",0.333333333333333,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0.333333333333333,0,0,0,13.3333333333333,2,0,0,0,0,0,0,17.6666666666667,2.33333333333333,15.3333333333333,55.3333333333333,77.76,16.6666666666667,21,20,35.9
"16081513041892142016-09-01",1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,22,0,0,0,0,8.33333333333333,0.333333333333333,0,0,0,0,0,32.3333333333333,23.6666666666667,8.66666666666667,47,55.04,30.6666666666667,23,23,21.5666666666667
"16081609081889162016-09-01",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,3,0,17.6666666666667,0,22.3333333333333,2,0.666666666666667,0,0,0,17.6666666666667,0,28.3333333333333,3.33333333333333,25,13,60.4933333333333,42,29,28,36.8666666666667
"16081709161231012016-09-01",2,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,4.33333333333333,0.333333333333333,0,0,0,0,0,0,8.33333333333333,3.66666666666667,4.66666666666667,74.6666666666667,93.96,7,25,25,12.4666666666667
"16081712471161842016-09-01",0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66666666666667,0,0,0,2.33333333333333,5,0,0,0,0,0,0,12.6666666666667,5.33333333333333,7.33333333333333,38.3333333333333,94.8,12,32,32,9.86666666666667
"16082408544987542016-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,1.66666666666667,0,0,0,0,0,0,15,13.3333333333333,1.66666666666667,79.6666666666667,77.8,14.6666666666667,35,34,10.0666666666667
"16082413194684612016-09-01",0.666666666666667,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,12,0,0,0,1.33333333333333,1,0,0,0,0,0,0,18.3333333333333,16,2.33333333333333,35,59.3333333333333,17,35,34,16.8666666666667
"16082509252268562016-09-01",0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,13,0,21.3333333333333,1.33333333333333,0,0,0,0,13,0,26,3.33333333333333,22.6666666666667,51,69.7733333333333,29.3333333333333,20,19,41.1333333333333
"16083116262962852016-09-01",0,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,1.33333333333333,0,0,0,11.6666666666667,0,0,0,0,0,0.333333333333333,0,14,2.33333333333333,11.6666666666667,42,82.0533333333333,13.3333333333333,19,18,21.2
"16083116280973132016-09-01",0.333333333333333,0,0,0,0,0,0,0,0,0,2.66666666666667,0,0,0,13.3333333333333,0,7,0,26.3333333333333,0,1.66666666666667,0,0,0,7,0,44.3333333333333,16.3333333333333,28,2.33333333333333,46.6133333333333,44.6666666666667,45,44,50.9
"16090712373970722016-09-01",12.3333333333333,0,0,0,2,0,0,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,56,85.32,16,20,20,16.5666666666667
"1609071345385512016-09-01",1,0,0,0,5,0,0,0,0,0,0.333333333333333,0,0,0,10.3333333333333,0,0,0,1.66666666666667,0.666666666666667,0,0,0,0,0,0,19,16.6666666666667,2.33333333333333,59,88.2,18.6666666666667,23,22,14.9333333333333
"16090715080974402016-09-01",0.666666666666667,0,0,0,0,0,0,0,0,0,9,0,0,0,36.3333333333333,0,0.333333333333333,0,39,1.66666666666667,5.66666666666667,0,0,0,0.333333333333333,0,92.3333333333333,46,46.3333333333333,2.33333333333333,20.5333333333333,71,45,44,62.1935483870968
"16090814021780972016-09-01",4,0,0,0,3.33333333333333,0,0,0,0,0,0.333333333333333,0,0,0,20.6666666666667,0,0,0,12.6666666666667,0.333333333333333,0,0,0,0,0,0,41.3333333333333,28.3333333333333,13,45,45.5333333333333,37,19,19,31.7333333333333
"16091514123243082016-09-01",0,0,0,0,1,0,0,0,0,0,1,0,0,0,42.3333333333333,0,0,0,5.33333333333333,1,0,0,0,0,0,0,50.6666666666667,44.3333333333333,6.33333333333333,40,42.0533333333333,48.3333333333333,33,32,29.7
"16091515362664052016-09-01",4,0,0,0,0,0,0,0,0,0,5,0,0,0,24.3333333333333,0,0,0,20,0.666666666666667,0,0,0,0,0,0,54,33.3333333333333,20.6666666666667,3.66666666666667,69.64,44,34,34,59.9666666666667
"16092913305366702016-09-01",0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,7.66666666666667,0,0,0,31.6666666666667,0.333333333333333,0,0,0,0,0,0,41.3333333333333,9.33333333333333,32,8.33333333333333,60.2133333333333,34,27,27,47.4333333333333
"16092914272089492016-09-01",10.6666666666667,0,0,0,9.66666666666667,0,0,0,0,0,2.33333333333333,0,0,0,15,0,0,0,3.66666666666667,0,0,0,0,0,0,0,41.3333333333333,37.6666666666667,3.66666666666667,45.6666666666667,59.4533333333333,36.3333333333333,36,36,27.7
"16092916023889462016-09-01",19.6666666666667,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,26.3333333333333,0,0,0,0,0,0,0,60,33.6666666666667,26.3333333333333,22,48.16,49.6666666666667,30,30,50.7666666666667
