"PrimaryKey","EcolSite","US_L3CODE","US_L3NAME","Elevation","PRISM","ElevationM"
"NM_LasCrucesMimbres2019_MIMB_092_V12020-09-01","R042XB016NM","24","Chihuahuan Deserts",1299,290.420013427734,1336
"NM_LasCrucesMimbres2019_MIMB_032_V12020-09-01","R042XB035NM","24","Chihuahuan Deserts",1287,281.75,1305
"NML00000_Panel2_MIMB_0162019-09-01","R042XB027NM","24","Chihuahuan Deserts",1399,312.179992675781,1417
"NM_LasCrucesMimbres2019_MIMB_080_V12020-09-01",NA,"24","Chihuahuan Deserts",1436,NA,1472
"NML00000_OverSamp_MIMB_3052019-09-01","R042XB027NM","24","Chihuahuan Deserts",1508,322.519989013672,1465
"NM_LasCrucesMimbres2019_MIMB_060_V12020-09-01","R042XB015NM","24","Chihuahuan Deserts",1483,319.470001220703,1490
"16100415221576082016-09-01","R042XB015NM","24","Chihuahuan Deserts",1259.62536621,NA,1261
"1610040933567712016-09-01","R042XB018NM","24","Chihuahuan Deserts",1234.76501465,250.119995117188,1248
"NML00000_2019_Sandy_5052019-09-01","R042XB012NM","24","Chihuahuan Deserts",1230,252.660003662109,1248
"NM_LasCrucesMimbres2019_MIMB_059_V12020-09-01","R042XB010NM","24","Chihuahuan Deserts",1422,317.559997558594,1416
"NML00000_2019_Loam_3452019-09-01","R042XB018NM","24","Chihuahuan Deserts",1185,250.910003662109,1205
"NML00000_2020_Sandy_5132019-09-01","R042XB012NM","24","Chihuahuan Deserts",0,251.610000610352,1250
"NML00000_2019_Loam_3462019-09-01","R042XB012NM","24","Chihuahuan Deserts",1185,249.699996948242,1213
"16111616433990922016-09-01","R042XB012NM","24","Chihuahuan Deserts",1235.04858398,253.419998168945,1232
"NML00000_2020_Sandy_5142019-09-01","R042XB012NM","24","Chihuahuan Deserts",1281,250.460006713867,1283
"17120108013662422017-09-01","R042XB037NM","24","Chihuahuan Deserts",1275.8928,251.639999389648,1247
"NML00000_2020_Loam_3482019-09-01","R042XB015NM","24","Chihuahuan Deserts",1197,250.300003051758,1210
"NML00000_2020_Loam_3472019-09-01","R042XC036NM","24","Chihuahuan Deserts",1176,252.050003051758,1207
"18101511224069032018-09-01","R042XB015NM","24","Chihuahuan Deserts",1258.5192,250.320007324219,1257
